Rating,Company Name,Job Title,Salary,Salaries Reported,Location,Employment Status,Job Roles
3.3,1985,Web Developer,312000,1,Bangalore,Full Time,Web
4.1,660000,Python Backend Developer,700000,1,Bangalore,Full Time,Backend
4,660000,Python Backend Developer,700000,1,Bangalore,Full Time,Backend
4,-,Mobile App Developer,900000,1,Bangalore,Full Time,Mobile
4.1,[24]7.ai,Backend Developer,800000,1,Bangalore,Full Time,Backend
4.1,[24]7.ai,Database Administrator (Database Administrator),600000,2,Bangalore,Full Time,Database
4.1,[24]7.ai,Front End Developer,252000,1,Bangalore,Full Time,Frontend
4.1,[24]7.ai,Senior Software Development Engineer In Test,100000,6,Bangalore,Full Time,SDE
4.1,[24]7.ai,Software Development Engineer In Test,200000,2,Bangalore,Full Time,SDE
4.1,[24]7.ai,Software Development Engineer I,800000,2,Bangalore,Full Time,SDE
